# Generado por Generate-LoadTestTags.ps1 el 2026-08-25 18:40 - 500 tags
# Nombres inventados. Decimales con PUNTO (InvariantCulture).
TAG_NAME_OPC_UA;TAG_NAME_OPC_DA;DATA_TYPE;MULTIPLICADOR;OFFSET;EU;SCAN_RATE_MS;DEADBAND;ACCESS_LEVEL;DESCRIPTION;ENABLED
PLANTA_01.EQUIPO_001.SETPOINT_PRESION;.PLANTA_01_EQUIPO_001_SETPOINT_PRESION;Double;1;0;bar;1000;0;Read;SETPOINT_PRESION de EQUIPO_001;True
PLANTA_01.EQUIPO_001.SETPOINT_TEMPERATURA;.PLANTA_01_EQUIPO_001_SETPOINT_TEMPERATURA;Double;1;0;C;1000;0;Read;SETPOINT_TEMPERATURA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.HORAS_SERVICIO;.PLANTA_01_EQUIPO_001_HORAS_SERVICIO;Double;0.1;0;h;1000;0;Read;HORAS_SERVICIO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.EFICIENCIA;.PLANTA_01_EQUIPO_001_EFICIENCIA;Double;0.01;0;pct;1000;0;Read;EFICIENCIA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CONSUMO_ESPECIFICO;.PLANTA_01_EQUIPO_001_CONSUMO_ESPECIFICO;Double;0.001;0;kWhm3;1000;0;Read;CONSUMO_ESPECIFICO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.ESTADO_BOMBA;.PLANTA_01_EQUIPO_001_ESTADO_BOMBA;Boolean;1;0;;1000;0;Read;ESTADO_BOMBA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.ESTADO_VALVULA;.PLANTA_01_EQUIPO_001_ESTADO_VALVULA;Boolean;1;0;;1000;0;Read;ESTADO_VALVULA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.ALARMA_ALTA;.PLANTA_01_EQUIPO_001_ALARMA_ALTA;Boolean;1;0;;1000;0;Read;ALARMA_ALTA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.ALARMA_BAJA;.PLANTA_01_EQUIPO_001_ALARMA_BAJA;Boolean;1;0;;1000;0;Read;ALARMA_BAJA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.MODO_AUTOMATICO;.PLANTA_01_EQUIPO_001_MODO_AUTOMATICO;Boolean;1;0;;1000;0;Read;MODO_AUTOMATICO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.PERMISO_ARRANQUE;.PLANTA_01_EQUIPO_001_PERMISO_ARRANQUE;Boolean;1;0;;1000;0;Read;PERMISO_ARRANQUE de EQUIPO_001;True
PLANTA_01.EQUIPO_001.FALLA_GENERAL;.PLANTA_01_EQUIPO_001_FALLA_GENERAL;Boolean;1;0;;1000;0;Read;FALLA_GENERAL de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CONFIRMACION_MARCHA;.PLANTA_01_EQUIPO_001_CONFIRMACION_MARCHA;Boolean;1;0;;1000;0;Read;CONFIRMACION_MARCHA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.SELECTOR_LOCAL_REMOTO;.PLANTA_01_EQUIPO_001_SELECTOR_LOCAL_REMOTO;Boolean;1;0;;1000;0;Read;SELECTOR_LOCAL_REMOTO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.EN_MANTENIMIENTO;.PLANTA_01_EQUIPO_001_EN_MANTENIMIENTO;Boolean;1;0;;1000;0;Read;EN_MANTENIMIENTO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CONTADOR_ARRANQUES;.PLANTA_01_EQUIPO_001_CONTADOR_ARRANQUES;Int32;1;0;;1000;0;Read;CONTADOR_ARRANQUES de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CONTADOR_ALARMAS;.PLANTA_01_EQUIPO_001_CONTADOR_ALARMAS;Int32;1;0;;1000;0;Read;CONTADOR_ALARMAS de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CODIGO_FALLA;.PLANTA_01_EQUIPO_001_CODIGO_FALLA;Int32;1;0;;1000;0;Read;CODIGO_FALLA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.PASO_SECUENCIA;.PLANTA_01_EQUIPO_001_PASO_SECUENCIA;Int32;1;0;;1000;0;Read;PASO_SECUENCIA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.RECETA_ACTIVA;.PLANTA_01_EQUIPO_001_RECETA_ACTIVA;String;1;0;;1000;0;Read;RECETA_ACTIVA de EQUIPO_001;True
PLANTA_01.EQUIPO_002.PRESION_ENTRADA;.PLANTA_01_EQUIPO_002_PRESION_ENTRADA;Double;1;0;bar;1000;0;Read;PRESION_ENTRADA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.PRESION_SALIDA;.PLANTA_01_EQUIPO_002_PRESION_SALIDA;Double;1;0;bar;1000;0;Read;PRESION_SALIDA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.TEMPERATURA_ENTRADA;.PLANTA_01_EQUIPO_002_TEMPERATURA_ENTRADA;Double;1;0;C;1000;0;Read;TEMPERATURA_ENTRADA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.TEMPERATURA_SALIDA;.PLANTA_01_EQUIPO_002_TEMPERATURA_SALIDA;Double;1.8;32;F;1000;0;Read;TEMPERATURA_SALIDA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CAUDAL_INSTANTANEO;.PLANTA_01_EQUIPO_002_CAUDAL_INSTANTANEO;Double;1;0;m3h;1000;0;Read;CAUDAL_INSTANTANEO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CAUDAL_TOTALIZADO;.PLANTA_01_EQUIPO_002_CAUDAL_TOTALIZADO;Double;0.001;0;m3;1000;0;Read;CAUDAL_TOTALIZADO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.NIVEL_TANQUE;.PLANTA_01_EQUIPO_002_NIVEL_TANQUE;Double;0.01;0;pct;1000;0;Read;NIVEL_TANQUE de EQUIPO_002;True
PLANTA_01.EQUIPO_002.VIBRACION_X;.PLANTA_01_EQUIPO_002_VIBRACION_X;Double;0.01;0;mms;1000;0;Read;VIBRACION_X de EQUIPO_002;True
PLANTA_01.EQUIPO_002.VIBRACION_Y;.PLANTA_01_EQUIPO_002_VIBRACION_Y;Double;0.01;0;mms;1000;0;Read;VIBRACION_Y de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CORRIENTE_MOTOR;.PLANTA_01_EQUIPO_002_CORRIENTE_MOTOR;Double;0.1;0;A;1000;0;Read;CORRIENTE_MOTOR de EQUIPO_002;True
PLANTA_01.EQUIPO_002.TENSION_MOTOR;.PLANTA_01_EQUIPO_002_TENSION_MOTOR;Double;1;0;V;1000;0;Read;TENSION_MOTOR de EQUIPO_002;True
PLANTA_01.EQUIPO_002.POTENCIA_ACTIVA;.PLANTA_01_EQUIPO_002_POTENCIA_ACTIVA;Double;0.01;0;kW;1000;0;Read;POTENCIA_ACTIVA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.VELOCIDAD_MOTOR;.PLANTA_01_EQUIPO_002_VELOCIDAD_MOTOR;Double;1;0;rpm;1000;0;Read;VELOCIDAD_MOTOR de EQUIPO_002;True
PLANTA_01.EQUIPO_002.TORQUE;.PLANTA_01_EQUIPO_002_TORQUE;Double;0.1;0;Nm;1000;0;Read;TORQUE de EQUIPO_002;True
PLANTA_01.EQUIPO_002.DENSIDAD;.PLANTA_01_EQUIPO_002_DENSIDAD;Double;1;0;kgm3;1000;0;Read;DENSIDAD de EQUIPO_002;True
PLANTA_01.EQUIPO_002.VISCOSIDAD;.PLANTA_01_EQUIPO_002_VISCOSIDAD;Double;0.01;0;cP;1000;0;Read;VISCOSIDAD de EQUIPO_002;True
PLANTA_01.EQUIPO_002.PH;.PLANTA_01_EQUIPO_002_PH;Double;0.001;0;pH;1000;0;Read;PH de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CONDUCTIVIDAD;.PLANTA_01_EQUIPO_002_CONDUCTIVIDAD;Double;1;0;uScm;1000;0;Read;CONDUCTIVIDAD de EQUIPO_002;True
PLANTA_01.EQUIPO_002.HUMEDAD;.PLANTA_01_EQUIPO_002_HUMEDAD;Double;0.01;0;pct;1000;0;Read;HUMEDAD de EQUIPO_002;True
PLANTA_01.EQUIPO_002.APERTURA_VALVULA;.PLANTA_01_EQUIPO_002_APERTURA_VALVULA;Double;0.01;0;pct;1000;0;Read;APERTURA_VALVULA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.SETPOINT_PRESION;.PLANTA_01_EQUIPO_002_SETPOINT_PRESION;Double;1;0;bar;1000;0;Read;SETPOINT_PRESION de EQUIPO_002;True
PLANTA_01.EQUIPO_002.SETPOINT_TEMPERATURA;.PLANTA_01_EQUIPO_002_SETPOINT_TEMPERATURA;Double;1;0;C;1000;0;Read;SETPOINT_TEMPERATURA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.HORAS_SERVICIO;.PLANTA_01_EQUIPO_002_HORAS_SERVICIO;Double;0.1;0;h;1000;0;Read;HORAS_SERVICIO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.EFICIENCIA;.PLANTA_01_EQUIPO_002_EFICIENCIA;Double;0.01;0;pct;1000;0;Read;EFICIENCIA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CONSUMO_ESPECIFICO;.PLANTA_01_EQUIPO_002_CONSUMO_ESPECIFICO;Double;0.001;0;kWhm3;1000;0;Read;CONSUMO_ESPECIFICO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.ESTADO_BOMBA;.PLANTA_01_EQUIPO_002_ESTADO_BOMBA;Boolean;1;0;;1000;0;Read;ESTADO_BOMBA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.ESTADO_VALVULA;.PLANTA_01_EQUIPO_002_ESTADO_VALVULA;Boolean;1;0;;1000;0;Read;ESTADO_VALVULA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.ALARMA_ALTA;.PLANTA_01_EQUIPO_002_ALARMA_ALTA;Boolean;1;0;;1000;0;Read;ALARMA_ALTA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.ALARMA_BAJA;.PLANTA_01_EQUIPO_002_ALARMA_BAJA;Boolean;1;0;;1000;0;Read;ALARMA_BAJA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.MODO_AUTOMATICO;.PLANTA_01_EQUIPO_002_MODO_AUTOMATICO;Boolean;1;0;;1000;0;Read;MODO_AUTOMATICO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.PERMISO_ARRANQUE;.PLANTA_01_EQUIPO_002_PERMISO_ARRANQUE;Boolean;1;0;;1000;0;Read;PERMISO_ARRANQUE de EQUIPO_002;True
PLANTA_01.EQUIPO_002.FALLA_GENERAL;.PLANTA_01_EQUIPO_002_FALLA_GENERAL;Boolean;1;0;;1000;0;Read;FALLA_GENERAL de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CONFIRMACION_MARCHA;.PLANTA_01_EQUIPO_002_CONFIRMACION_MARCHA;Boolean;1;0;;1000;0;Read;CONFIRMACION_MARCHA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.SELECTOR_LOCAL_REMOTO;.PLANTA_01_EQUIPO_002_SELECTOR_LOCAL_REMOTO;Boolean;1;0;;1000;0;Read;SELECTOR_LOCAL_REMOTO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.EN_MANTENIMIENTO;.PLANTA_01_EQUIPO_002_EN_MANTENIMIENTO;Boolean;1;0;;1000;0;Read;EN_MANTENIMIENTO de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CONTADOR_ARRANQUES;.PLANTA_01_EQUIPO_002_CONTADOR_ARRANQUES;Int32;1;0;;1000;0;Read;CONTADOR_ARRANQUES de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CONTADOR_ALARMAS;.PLANTA_01_EQUIPO_002_CONTADOR_ALARMAS;Int32;1;0;;1000;0;Read;CONTADOR_ALARMAS de EQUIPO_002;True
PLANTA_01.EQUIPO_002.CODIGO_FALLA;.PLANTA_01_EQUIPO_002_CODIGO_FALLA;Int32;1;0;;1000;0;Read;CODIGO_FALLA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.PASO_SECUENCIA;.PLANTA_01_EQUIPO_002_PASO_SECUENCIA;Int32;1;0;;1000;0;Read;PASO_SECUENCIA de EQUIPO_002;True
PLANTA_01.EQUIPO_002.RECETA_ACTIVA;.PLANTA_01_EQUIPO_002_RECETA_ACTIVA;String;1;0;;1000;0;Read;RECETA_ACTIVA de EQUIPO_002;True
PLANTA_01.EQUIPO_003.PRESION_ENTRADA;.PLANTA_01_EQUIPO_003_PRESION_ENTRADA;Double;1;0;bar;1000;0;Read;PRESION_ENTRADA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.PRESION_SALIDA;.PLANTA_01_EQUIPO_003_PRESION_SALIDA;Double;1;0;bar;1000;0;Read;PRESION_SALIDA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.TEMPERATURA_ENTRADA;.PLANTA_01_EQUIPO_003_TEMPERATURA_ENTRADA;Double;1;0;C;1000;0;Read;TEMPERATURA_ENTRADA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.TEMPERATURA_SALIDA;.PLANTA_01_EQUIPO_003_TEMPERATURA_SALIDA;Double;1.8;32;F;1000;0;Read;TEMPERATURA_SALIDA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CAUDAL_INSTANTANEO;.PLANTA_01_EQUIPO_003_CAUDAL_INSTANTANEO;Double;1;0;m3h;1000;0;Read;CAUDAL_INSTANTANEO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CAUDAL_TOTALIZADO;.PLANTA_01_EQUIPO_003_CAUDAL_TOTALIZADO;Double;0.001;0;m3;1000;0;Read;CAUDAL_TOTALIZADO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.NIVEL_TANQUE;.PLANTA_01_EQUIPO_003_NIVEL_TANQUE;Double;0.01;0;pct;1000;0;Read;NIVEL_TANQUE de EQUIPO_003;True
PLANTA_01.EQUIPO_003.VIBRACION_X;.PLANTA_01_EQUIPO_003_VIBRACION_X;Double;0.01;0;mms;1000;0;Read;VIBRACION_X de EQUIPO_003;True
PLANTA_01.EQUIPO_003.VIBRACION_Y;.PLANTA_01_EQUIPO_003_VIBRACION_Y;Double;0.01;0;mms;1000;0;Read;VIBRACION_Y de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CORRIENTE_MOTOR;.PLANTA_01_EQUIPO_003_CORRIENTE_MOTOR;Double;0.1;0;A;1000;0;Read;CORRIENTE_MOTOR de EQUIPO_003;True
PLANTA_01.EQUIPO_003.TENSION_MOTOR;.PLANTA_01_EQUIPO_003_TENSION_MOTOR;Double;1;0;V;1000;0;Read;TENSION_MOTOR de EQUIPO_003;True
PLANTA_01.EQUIPO_003.POTENCIA_ACTIVA;.PLANTA_01_EQUIPO_003_POTENCIA_ACTIVA;Double;0.01;0;kW;1000;0;Read;POTENCIA_ACTIVA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.VELOCIDAD_MOTOR;.PLANTA_01_EQUIPO_003_VELOCIDAD_MOTOR;Double;1;0;rpm;1000;0;Read;VELOCIDAD_MOTOR de EQUIPO_003;True
PLANTA_01.EQUIPO_003.TORQUE;.PLANTA_01_EQUIPO_003_TORQUE;Double;0.1;0;Nm;1000;0;Read;TORQUE de EQUIPO_003;True
PLANTA_01.EQUIPO_003.DENSIDAD;.PLANTA_01_EQUIPO_003_DENSIDAD;Double;1;0;kgm3;1000;0;Read;DENSIDAD de EQUIPO_003;True
PLANTA_01.EQUIPO_003.VISCOSIDAD;.PLANTA_01_EQUIPO_003_VISCOSIDAD;Double;0.01;0;cP;1000;0;Read;VISCOSIDAD de EQUIPO_003;True
PLANTA_01.EQUIPO_003.PH;.PLANTA_01_EQUIPO_003_PH;Double;0.001;0;pH;1000;0;Read;PH de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CONDUCTIVIDAD;.PLANTA_01_EQUIPO_003_CONDUCTIVIDAD;Double;1;0;uScm;1000;0;Read;CONDUCTIVIDAD de EQUIPO_003;True
PLANTA_01.EQUIPO_003.HUMEDAD;.PLANTA_01_EQUIPO_003_HUMEDAD;Double;0.01;0;pct;1000;0;Read;HUMEDAD de EQUIPO_003;True
PLANTA_01.EQUIPO_003.APERTURA_VALVULA;.PLANTA_01_EQUIPO_003_APERTURA_VALVULA;Double;0.01;0;pct;1000;0;Read;APERTURA_VALVULA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.SETPOINT_PRESION;.PLANTA_01_EQUIPO_003_SETPOINT_PRESION;Double;1;0;bar;1000;0;Read;SETPOINT_PRESION de EQUIPO_003;True
PLANTA_01.EQUIPO_003.SETPOINT_TEMPERATURA;.PLANTA_01_EQUIPO_003_SETPOINT_TEMPERATURA;Double;1;0;C;1000;0;Read;SETPOINT_TEMPERATURA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.HORAS_SERVICIO;.PLANTA_01_EQUIPO_003_HORAS_SERVICIO;Double;0.1;0;h;1000;0;Read;HORAS_SERVICIO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.EFICIENCIA;.PLANTA_01_EQUIPO_003_EFICIENCIA;Double;0.01;0;pct;1000;0;Read;EFICIENCIA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CONSUMO_ESPECIFICO;.PLANTA_01_EQUIPO_003_CONSUMO_ESPECIFICO;Double;0.001;0;kWhm3;1000;0;Read;CONSUMO_ESPECIFICO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.ESTADO_BOMBA;.PLANTA_01_EQUIPO_003_ESTADO_BOMBA;Boolean;1;0;;1000;0;Read;ESTADO_BOMBA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.ESTADO_VALVULA;.PLANTA_01_EQUIPO_003_ESTADO_VALVULA;Boolean;1;0;;1000;0;Read;ESTADO_VALVULA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.ALARMA_ALTA;.PLANTA_01_EQUIPO_003_ALARMA_ALTA;Boolean;1;0;;1000;0;Read;ALARMA_ALTA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.ALARMA_BAJA;.PLANTA_01_EQUIPO_003_ALARMA_BAJA;Boolean;1;0;;1000;0;Read;ALARMA_BAJA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.MODO_AUTOMATICO;.PLANTA_01_EQUIPO_003_MODO_AUTOMATICO;Boolean;1;0;;1000;0;Read;MODO_AUTOMATICO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.PERMISO_ARRANQUE;.PLANTA_01_EQUIPO_003_PERMISO_ARRANQUE;Boolean;1;0;;1000;0;Read;PERMISO_ARRANQUE de EQUIPO_003;True
PLANTA_01.EQUIPO_003.FALLA_GENERAL;.PLANTA_01_EQUIPO_003_FALLA_GENERAL;Boolean;1;0;;1000;0;Read;FALLA_GENERAL de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CONFIRMACION_MARCHA;.PLANTA_01_EQUIPO_003_CONFIRMACION_MARCHA;Boolean;1;0;;1000;0;Read;CONFIRMACION_MARCHA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.SELECTOR_LOCAL_REMOTO;.PLANTA_01_EQUIPO_003_SELECTOR_LOCAL_REMOTO;Boolean;1;0;;1000;0;Read;SELECTOR_LOCAL_REMOTO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.EN_MANTENIMIENTO;.PLANTA_01_EQUIPO_003_EN_MANTENIMIENTO;Boolean;1;0;;1000;0;Read;EN_MANTENIMIENTO de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CONTADOR_ARRANQUES;.PLANTA_01_EQUIPO_003_CONTADOR_ARRANQUES;Int32;1;0;;1000;0;Read;CONTADOR_ARRANQUES de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CONTADOR_ALARMAS;.PLANTA_01_EQUIPO_003_CONTADOR_ALARMAS;Int32;1;0;;1000;0;Read;CONTADOR_ALARMAS de EQUIPO_003;True
PLANTA_01.EQUIPO_003.CODIGO_FALLA;.PLANTA_01_EQUIPO_003_CODIGO_FALLA;Int32;1;0;;1000;0;Read;CODIGO_FALLA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.PASO_SECUENCIA;.PLANTA_01_EQUIPO_003_PASO_SECUENCIA;Int32;1;0;;1000;0;Read;PASO_SECUENCIA de EQUIPO_003;True
PLANTA_01.EQUIPO_003.RECETA_ACTIVA;.PLANTA_01_EQUIPO_003_RECETA_ACTIVA;String;1;0;;1000;0;Read;RECETA_ACTIVA de EQUIPO_003;True
PLANTA_01.EQUIPO_004.PRESION_ENTRADA;.PLANTA_01_EQUIPO_004_PRESION_ENTRADA;Double;1;0;bar;1000;0;Read;PRESION_ENTRADA de EQUIPO_004;True
PLANTA_01.EQUIPO_004.PRESION_SALIDA;.PLANTA_01_EQUIPO_004_PRESION_SALIDA;Double;1;0;bar;1000;0;Read;PRESION_SALIDA de EQUIPO_004;True
PLANTA_01.EQUIPO_004.TEMPERATURA_ENTRADA;.PLANTA_01_EQUIPO_004_TEMPERATURA_ENTRADA;Double;1;0;C;1000;0;Read;TEMPERATURA_ENTRADA de EQUIPO_004;True
PLANTA_01.EQUIPO_004.TEMPERATURA_SALIDA;.PLANTA_01_EQUIPO_004_TEMPERATURA_SALIDA;Double;1.8;32;F;1000;0;Read;TEMPERATURA_SALIDA de EQUIPO_004;True
PLANTA_01.EQUIPO_004.CAUDAL_INSTANTANEO;.PLANTA_01_EQUIPO_004_CAUDAL_INSTANTANEO;Double;1;0;m3h;1000;0;Read;CAUDAL_INSTANTANEO de EQUIPO_004;True
PLANTA_01.EQUIPO_004.CAUDAL_TOTALIZADO;.PLANTA_01_EQUIPO_004_CAUDAL_TOTALIZADO;Double;0.001;0;m3;1000;0;Read;CAUDAL_TOTALIZADO de EQUIPO_004;True
PLANTA_01.EQUIPO_004.NIVEL_TANQUE;.PLANTA_01_EQUIPO_004_NIVEL_TANQUE;Double;0.01;0;pct;1000;0;Read;NIVEL_TANQUE de EQUIPO_004;True
PLANTA_01.EQUIPO_004.VIBRACION_X;.PLANTA_01_EQUIPO_004_VIBRACION_X;Double;0.01;0;mms;1000;0;Read;VIBRACION_X de EQUIPO_004;True
PLANTA_01.EQUIPO_004.VIBRACION_Y;.PLANTA_01_EQUIPO_004_VIBRACION_Y;Double;0.01;0;mms;1000;0;Read;VIBRACION_Y de EQUIPO_004;True
PLANTA_01.EQUIPO_004.CORRIENTE_MOTOR;.PLANTA_01_EQUIPO_004_CORRIENTE_MOTOR;Double;0.1;0;A;1000;0;Read;CORRIENTE_MOTOR de EQUIPO_004;True
PLANTA_01.EQUIPO_004.TENSION_MOTOR;.PLANTA_01_EQUIPO_004_TENSION_MOTOR;Double;1;0;V;1000;0;Read;TENSION_MOTOR de EQUIPO_004;True
PLANTA_01.EQUIPO_004.POTENCIA_ACTIVA;.PLANTA_01_EQUIPO_004_POTENCIA_ACTIVA;Double;0.01;0;kW;1000;0;Read;POTENCIA_ACTIVA de EQUIPO_004;True
PLANTA_01.EQUIPO_004.VELOCIDAD_MOTOR;.PLANTA_01_EQUIPO_004_VELOCIDAD_MOTOR;Double;1;0;rpm;1000;0;Read;VELOCIDAD_MOTOR de EQUIPO_004;True
PLANTA_01.EQUIPO_004.TORQUE;.PLANTA_01_EQUIPO_004_TORQUE;Double;0.1;0;Nm;1000;0;Read;TORQUE de EQUIPO_004;True
